id,model,name,ref,date,period_id:id,journal_id:id
str,str,str,str,str,ref,ref
am_cicsa_20000000113,account.move,Comp-20000000113,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000114,account.move,Comp-20000000114,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000115,account.move,Comp-20000000115,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000370,account.move,Comp-19000000370,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000371,account.move,Comp-19000000371,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000372,account.move,Comp-19000000372,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000373,account.move,Comp-19000000373,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000374,account.move,Comp-19000000374,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000375,account.move,Comp-19000000375,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000376,account.move,Comp-19000000376,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000377,account.move,Comp-19000000377,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000378,account.move,Comp-19000000378,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000116,account.move,Comp-20000000116,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000117,account.move,Comp-20000000117,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000118,account.move,Comp-20000000118,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000119,account.move,Comp-20000000119,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000120,account.move,Comp-20000000120,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000121,account.move,Comp-20000000121,Asientos Transacciones Mayo,2014-05-21,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000379,account.move,Comp-19000000379,Asientos Transacciones Mayo,2014-05-22,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_21000000012,account.move,Comp-21000000012,Asientos Transacciones Mayo,2014-05-22,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000380,account.move,Comp-19000000380,Asientos Transacciones Mayo,2014-05-22,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000381,account.move,Comp-19000000381,Asientos Transacciones Mayo,2014-05-22,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000382,account.move,Comp-19000000382,Asientos Transacciones Mayo,2014-05-23,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000383,account.move,Comp-19000000383,Asientos Transacciones Mayo,2014-05-23,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000384,account.move,Comp-19000000384,Asientos Transacciones Mayo,2014-05-23,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000385,account.move,Comp-19000000385,Asientos Transacciones Mayo,2014-05-23,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000386,account.move,Comp-19000000386,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000387,account.move,Comp-19000000386,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000388,account.move,Comp-19000000387,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000122,account.move,Comp-20000000122,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000123,account.move,Comp-20000000123,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000124,account.move,Comp-20000000124,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000389,account.move,Comp-19000000389,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_21000000013,account.move,Comp-21000000013,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000390,account.move,Comp-19000000390,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000391,account.move,Comp-19000000391,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000392,account.move,Comp-19000000392,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000393,account.move,Comp-19000000393,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000394,account.move,Comp-19000000394,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000395,account.move,Comp-19000000395,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000396,account.move,Comp-19000000396,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000397,account.move,Comp-19000000397,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000398,account.move,Comp-19000000398,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000399,account.move,Comp-19000000399,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000400,account.move,Comp-19000000400,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000401,account.move,Comp-19000000401,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000402,account.move,Comp-19000000402,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000125,account.move,Comp-20000000125,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000403,account.move,Comp-19000000403,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000404,account.move,Comp-19000000404,Asientos Transacciones Mayo,2014-05-26,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000405,account.move,Comp-19000000405,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000406,account.move,Comp-19000000406,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000407,account.move,Comp-19000000407,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000408,account.move,Comp-19000000408,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000409,account.move,Comp-19000000409,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000410,account.move,Comp-19000000410,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000411,account.move,Comp-19000000411,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000412,account.move,Comp-19000000412,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000413,account.move,Comp-19000000413,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000414,account.move,Comp-19000000414,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000415,account.move,Comp-19000000415,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000416,account.move,Comp-19000000416,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000417,account.move,Comp-19000000417,Asientos Transacciones Mayo,2014-05-27,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
